date,session,direction,bias,regime,entryTime,entryPrice,stopPrice,tpPrice,exitPrice,exitTime,result,stopPips,pnlPips,pnlUsd,balanceAfter,rangeHigh,rangeLow
2025-06-11,NY,BULL,BULL,MODERATE,2025-06-11T14:05:00Z,1.14750,1.14538,1.14962,1.14962,2025-06-11T16:35:00Z,WIN,21.20,21.20,82.63,11100.26,1.14726,1.14568
2025-06-20,NY,BULL,BULL,MODERATE,2025-06-20T15:25:00Z,1.15286,1.15063,1.15509,1.15286,2025-06-20T20:30:00Z,SCRATCH,22.30,0.00,0.00,11100.26,1.15214,1.15093
2025-06-25,NY,BULL,BULL,MODERATE,2025-06-25T14:10:00Z,1.16128,1.15961,1.16295,1.16295,2025-06-25T15:40:00Z,WIN,16.70,16.70,83.25,11183.51,1.16077,1.15991
2025-06-30,NY,BULL,BULL,MODERATE,2025-06-30T14:15:00Z,1.17246,1.17093,1.17399,1.17399,2025-06-30T14:30:00Z,WIN,15.30,15.30,83.88,11267.39,1.17218,1.17123
2025-07-02,NY,BULL,BULL,MODERATE,2025-07-02T15:15:00Z,1.17778,1.17528,1.18028,1.18028,2025-07-02T19:55:00Z,WIN,25.00,25.00,84.51,11351.89,1.17726,1.17558
2025-07-08,NY,BEAR,BEAR,MODERATE,2025-07-08T14:15:00Z,1.16894,1.17154,1.16634,1.17154,2025-07-08T17:00:00Z,LOSS,26.00,-26.00,-85.14,11266.75,1.17124,1.16938
2025-07-09,NY,BULL,BULL,MODERATE,2025-07-09T14:25:00Z,1.17232,1.16975,1.17489,1.17232,2025-07-09T20:30:00Z,SCRATCH,25.70,0.00,0.00,11266.75,1.17188,1.17005
2025-07-23,NY,BULL,BULL,MODERATE,2025-07-23T14:05:00Z,1.17332,1.17080,1.17584,1.17584,2025-07-23T15:55:00Z,WIN,25.20,25.20,84.50,11351.25,1.17282,1.17110
2025-07-24,NY,BULL,BULL,MODERATE,2025-07-24T14:10:00Z,1.17814,1.17530,1.18098,1.17814,2025-07-24T20:30:00Z,SCRATCH,28.40,0.00,0.00,11351.25,1.17770,1.17560
2025-08-08,NY,BULL,BULL,MODERATE,2025-08-08T14:05:00Z,1.16567,1.16442,1.16692,1.16442,2025-08-08T19:25:00Z,LOSS,12.50,-12.50,-85.13,11266.12,1.16536,1.16472
2025-08-26,NY,BEAR,BEAR,MODERATE,2025-08-26T18:00:00Z,1.16378,1.16596,1.16160,1.16378,2025-08-26T20:30:00Z,SCRATCH,21.80,0.00,0.00,11266.12,1.16566,1.16424
2025-08-29,NY,BULL,BULL,MODERATE,2025-08-29T14:10:00Z,1.16787,1.16531,1.17043,1.17043,2025-08-29T14:55:00Z,WIN,25.60,25.60,84.50,11350.61,1.16731,1.16561
2025-09-12,NY,BULL,BULL,MODERATE,2025-09-12T14:05:00Z,1.17224,1.17004,1.17444,1.17224,2025-09-12T20:30:00Z,SCRATCH,22.00,0.00,0.00,11350.61,1.17164,1.17034
2025-09-15,NY,BULL,BULL,MODERATE,2025-09-15T16:00:00Z,1.17714,1.17547,1.17881,1.17714,2025-09-15T20:30:00Z,SCRATCH,16.70,0.00,0.00,11350.61,1.17684,1.17577
2025-09-23,NY,BULL,BULL,MODERATE,2025-09-23T16:20:00Z,1.18057,1.17811,1.18303,1.18057,2025-09-23T20:30:00Z,SCRATCH,24.60,0.00,0.00,11350.61,1.17996,1.17841
2025-10-03,NY,BEAR,BEAR,MODERATE,2025-10-03T18:05:00Z,1.17326,1.17475,1.17177,1.17326,2025-10-03T20:30:00Z,SCRATCH,14.90,0.00,0.00,11350.61,1.17445,1.17348
2025-10-29,NY,BULL,BULL,MODERATE,2025-10-29T15:00:00Z,1.16506,1.16315,1.16697,1.16315,2025-10-29T18:35:00Z,LOSS,19.10,-19.10,-85.13,11265.48,1.16444,1.16345
2025-10-30,NY,BEAR,BEAR,MODERATE,2025-10-30T15:40:00Z,1.15637,1.15827,1.15447,1.15637,2025-10-30T20:30:00Z,SCRATCH,19.00,0.00,0.00,11265.48,1.15797,1.15669
2025-11-13,NY,BULL,BULL,MODERATE,2025-11-13T14:35:00Z,1.16237,1.16088,1.16386,1.16386,2025-11-13T15:35:00Z,WIN,14.90,14.90,84.49,11349.98,1.16207,1.16118
2025-11-19,NY,BEAR,BEAR,MODERATE,2025-11-19T14:10:00Z,1.15650,1.15870,1.15430,1.15430,2025-11-19T15:40:00Z,WIN,22.00,22.00,85.12,11435.10,1.15840,1.15710
2025-11-21,NY,BEAR,BEAR,MODERATE,2025-11-21T14:10:00Z,1.15142,1.15300,1.14984,1.14984,2025-11-21T16:00:00Z,WIN,15.80,15.80,85.76,11520.86,1.15270,1.15169
2025-11-24,NY,BEAR,BEAR,MODERATE,2025-11-24T14:20:00Z,1.15346,1.15476,1.15216,1.15216,2025-11-24T15:05:00Z,WIN,13.00,13.00,86.41,11607.27,1.15446,1.15374
